,Text
0,"Machine learning - WikipediaJump to contentMain menuMain menumove to sidebarhideNavigationMain pageContentsCurrent eventsRandom articleAbout WikipediaContact usContributeHelpLearn to editCommunity portalRecent changesUpload fileSpecial pagesSearchSearchAppearanceDonateCreate accountLog inPersonal toolsDonateCreate accountLog inContentsmove to sidebarhide(Top)1History2Relationships to other fieldsToggle Relationships to other fields subsection2.1Artificial intelligence2.2Data compression2.3Data mining2.4Generalization2.5Statistics2.6Statistical physics3Theory4ApproachesToggle Approaches subsection4.1Supervised learning4.2Unsupervised learning4.2.1Dimensionality reduction4.3Semi-supervised learning4.4Reinforcement learning4.5Other types4.5.1Self-learning4.5.2Feature learning4.5.3Sparse dictionary learning4.5.4Anomaly detection4.5.5Robot learning4.5.6Association rules5ModelsToggle Models subsection5.1Artificial neural networks5.2Decision trees5.3Random forest regression5.4Support-vector machines5.5Regression analysis5.6Bayesian networks5.7Gaussian processes5.8Genetic algorithms5.9Belief functions5.10Rule-based models5.11Training models5.11.1Federated learning6Applications7LimitationsToggle Limitations subsection7.1Explainability7.2Overfitting7.3Other limitations and vulnerabilities8Model assessments9EthicsToggle Ethics subsection9.1Bias9.2Financial incentives10HardwareToggle Hardware subsection10.1Tensor Processing Units (TPUs)10.2Neuromorphic computing10.2.1Physical neural networks10.3Embedded machine learning11SoftwareToggle Software subsection11.1Free and open-source software11.2Proprietary software with free and open-source editions11.3Proprietary software12Journals13Conferences14See also15References16Sources17Further reading18External linksToggle the table of contentsMachine learning88 languagesAfrikaansالعربيةالدارجةঅসমীয়াAzərbaycancaتۆرکجهБашҡортсаБеларускаяБългарскиभोजपुरीবাংলাབོད་ཡིགBosanskiCatalàکوردیČeštinaCymraegDanskDeutschΕλληνικάEsperantoEspañolEestiEuskaraفارسیSuomiVõroFrançaisGalegoGaelgעבריתहिन्दीMagyarՀայերենBahasa IndonesiaIdoÍslenskaItaliano日本語JawaქართულიQaraqalpaqshaಕನ್ನಡ한국어КыргызчаLigureLietuviųLatviešuМакедонскиമലയാളംМонголमराठीBahasa MelayuNederlandsNorsk nynorskNorsk bokmålOccitanଓଡ଼ିଆਪੰਜਾਬੀPolskiپنجابیپښتوPortuguêsRuna SimiRomânăРусскийᱥᱟᱱᱛᱟᱲᱤSrpskohrvatski / српскохрватскиSimple EnglishSlovenščinaShqipСрпски / srpskiSvenskaதமிழ்తెలుగుไทยTagalogTürkçeئۇيغۇرچە / UyghurcheУкраїнськаاردوOʻzbekcha / ўзбекчаTiếng Việt吴语閩南語 / Bân-lâm-gí粵語中文IsiZuluEdit linksArticleTalkEnglishReadEditView historyToolsToolsmove to sidebarhideActionsReadEditView historyGeneralWhat links hereRelated changesUpload filePermanent linkPage informationCite this pageGet shortened URLPrint/exportDownload as PDFPrintable versionIn other projectsWikimedia CommonsWikiquoteWikiversityWikidata itemAppearancemove to sidebarhideFrom Wikipedia, the free encyclopediaStudy of algorithms that improve automatically through experienceFor the journal, seeMachine Learning (journal)."
1,"""Statistical learning"" redirects here."
2,"For statistical learning in linguistics, seeStatistical learning in language acquisition.Part of a series onMachine learninganddata miningParadigmsSupervised learningUnsupervised learningSemi-supervised learningSelf-supervised learningReinforcement learningMeta-learningOnline learningBatch learningCurriculum learningRule-based learningNeuro-symbolic AINeuromorphic engineeringQuantum machine learningProblemsClassificationGenerative modelingRegressionClusteringDimensionality reductionDensity estimationAnomaly detectionData cleaningAutoMLAssociation rulesSemantic analysisStructured predictionFeature engineeringFeature learningLearning to rankGrammar inductionOntology learningMultimodal learningSupervised learning(classification•regression)Apprenticeship learningDecision treesEnsemblesBaggingBoostingRandom forestk-NNLinear regressionNaive BayesArtificial neural networksLogistic regressionPerceptronRelevance vector machine (RVM)Support vector machine (SVM)ClusteringBIRCHCUREHierarchicalk-meansFuzzyExpectation–maximization (EM)DBSCANOPTICSMean shiftDimensionality reductionFactor analysisCCAICALDANMFPCAPGDt-SNESDLStructured predictionGraphical modelsBayes netConditional random fieldHidden MarkovAnomaly detectionRANSACk-NNLocal outlier factorIsolation forestNeural networksAutoencoderDeep learningFeedforward neural networkRecurrent neural networkLSTMGRUESNreservoir computingBoltzmann machineRestrictedGANDiffusion modelSOMConvolutional neural networkU-NetLeNetAlexNetDeepDreamNeural fieldNeural radiance fieldPhysics-informed neural networksTransformerVisionMambaSpiking neural networkMemtransistorElectrochemical RAM(ECRAM)Reinforcement learningQ-learningPolicy gradientSARSATemporal difference (TD)Multi-agentSelf-playLearning with humansActive learningCrowdsourcingHuman-in-the-loopMechanistic interpretabilityRLHFModel diagnosticsCoefficient of determinationConfusion matrixLearning curveROC curveMathematical foundationsKernel machinesBias–variance tradeoffComputational learning theoryEmpirical risk minimizationOccam learningPAC learningStatistical learningVC theoryTopological deep learningJournals and conferencesAAAIECML PKDDNeurIPSICMLICLRIJCAIMLJMLRRelated articlesGlossary of artificial intelligenceList of datasets for machine-learning researchList of datasets in computer vision and image processingOutline of machine learningvtePart ofa seriesonArtificial intelligence (AI)Major goalsArtificial general intelligenceIntelligent agentRecursive self-improvementPlanningComputer visionGeneral game playingKnowledge representationNatural language processingRoboticsAI safetyApproachesMachine learningSymbolicDeep learningBayesian networksEvolutionary algorithmsHybrid intelligent systemsSystems integrationOpen-sourceAI data centersApplicationsBioinformaticsDeepfakeEarth sciencesFinanceGenerative AIArtAudioMusicGovernmentHealthcareMental healthIndustrySoftware developmentTranslationMilitaryPhysicsProjectsPhilosophyAI alignmentArtificial consciousnessThe bitter lessonChinese roomFriendly AIEthicsExistential riskTuring testUncanny valleyHuman–AI interactionHistoryTimelineProgressAI winterAI boomAI bubbleControversiesDeepfake pornographyTaylor Swift deepfake pornography controversyGrok sexual deepfake scandalGoogle Gemini image generation controversyPause Giant AI ExperimentsRemoval of Sam Altman from OpenAIStatement on AI RiskTay (chatbot)Théâtre D'opéra SpatialVoiceverse NFT plagiarism scandalGlossaryGlossaryvteMachine learning(ML) is afield of studyinartificial intelligenceconcerned with the development and study ofstatistical algorithmsthat can learn fromdataandgeneralizeto unseen data, and thus performtaskswithout explicitinstructions."
3,"[1]Within a subdiscipline of machine learning, advances in the field ofdeep learninghave allowedneural networks, a class of statistical algorithms, to surpass many previous machine learning approaches in performance.ML finds applications in many fields, includingnatural language processing,computer vision,speech recognition,email filtering,agriculture, andmedicine."
4,"The application of ML to business problems is known aspredictive analytics.Statisticsandmathematical optimisation(mathematical programming) methods compose the foundations of machine learning.Data miningis a related field of study, focusing onexploratory data analysis(EDA) throughunsupervised learning."
5,"[3][4]From a theoretical viewpoint,probably approximately correct learningprovides a mathematical and statistical framework for describing machine learning."
6,"Most traditional machine learning and deep learning algorithms can be described asempirical risk minimisationunder this framework.History[edit]See also:Timeline of machine learningThe termmachine learningwas coined in 1959 byArthur Samuel, anIBMemployee and pioneer in the field ofcomputer gamingandartificial intelligence."
7,[5][6]The synonymself-teaching computerswas also used during this time period.
8,"[7][8]The earliest machine learning program was introduced in the 1950s whenArthur Samuelinvented acomputer programthat calculated the winning chance in checkers for each side, but the history of machine learning roots back to decades of human desire and effort to study human cognitive processes."
9,"[9]In 1949, Canadian psychologistDonald Hebbpublished the bookThe Organization of Behavior, in which he introduced atheoretical neural structureformed by certain interactions amongnerve cells."
